mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz
0,0.9988781478573521,-0.0006284553512092633,0.9988783455571868,-0.0673370380764957,-0.037749665640437025,0.006008045886741832
1,0.9988781478573521,0.0006284553512092633,0.9988783455571868,-0.0673370380764957,0.037749665640437025,0.006008045886741832
2,0.9986131074612518,0.0005883543954366315,0.9986132807820614,-0.08326089617047754,0.0353502866904246,0.0056261728664967125
3,0.9986131074612518,-0.0005883543954366315,0.9986132807820614,-0.08326089617047754,-0.0353502866904246,0.0056261728664967125
4,0.9985596257545544,-0.0005303642346683482,0.998559766600526,-0.08647629194912154,-0.03186775257787793,0.005071910347998763
5,0.9985596257545544,0.0005303642346683482,0.998559766600526,-0.08647629194912154,0.03186775257787793,0.005071910347998763
6,0.995943018378085,0.0,0.995943018378085,-0.24391400987339612,0.0,0.0
7,0.9946100977159007,0.0,0.9946100977159007,-0.3242688128052567,0.0,0.0
8,0.981874663153927,-0.08854039499847047,0.9858586387967206,-0.85453818108308,-5.395896662953173,0.8587836263220602
9,0.981874663153927,0.08854039499847047,0.9858586387967206,-0.85453818108308,5.395896662953173,0.8587836263220602
10,0.9811000275054782,0.09541652261632314,0.9857289570462264,-0.8624312161754847,5.816984069327096,0.9258017685202157
11,0.9811000275054782,-0.09541652261632314,0.9857289570462264,-0.8624312161754847,-5.816984069327096,0.9258017685202157
12,0.9758696458885906,-0.13300015808769552,0.9848911654685888,-0.9134481494874633,-8.127257909573052,1.2934932700912554
13,0.9758696458885906,0.13300015808769552,0.9848911654685888,-0.9134481494874633,8.127257909573052,1.2934932700912554
14,0.9834810535723111,-0.008056160079272222,0.9835140489341908,-0.997401397467121,-0.49147748401227687,0.07822107099892182
15,0.9834810535723111,0.008056160079272222,0.9835140489341908,-0.997401397467121,0.49147748401227687,0.07822107099892182
16,0.9835124327464189,0.0,0.9835124327464189,-0.9974999942752677,0.0,0.0
17,0.983512432746388,0.0,0.983512432746388,-0.9974999942771505,0.0,0.0
18,0.9835124327463518,0.0,0.9835124327463518,-0.9974999942793585,0.0,0.0
19,0.9810905474814892,0.00019217742990101,0.9810905663034849,-1.1454301972276055,0.011752886291877124,0.0018705299489492205
20,0.9810905474814892,-0.00019217742990101,0.9810905663034849,-1.1454301972276055,-0.011752886291877124,0.0018705299489492205
21,0.9697299738772254,-0.023504446438928524,0.9700147840308027,-1.826637979919209,-1.454003434350674,0.2314118338495019
22,0.9697299738772254,0.023504446438928524,0.9700147840308027,-1.826637979919209,1.454003434350674,0.2314118338495019
23,0.9697741877381784,0.0,0.9697741877381784,-1.8415218439287233,0.0,0.0
