mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz
0,1.0104871801848332,-0.05814301274389424,1.0121585603297698,0.725114325598497,-3.4485725902541997,0.5488573743501772
1,1.0104871801848332,0.05814301274389424,1.0121585603297698,0.725114325598497,3.4485725902541997,0.5488573743501772
2,0.9983388949046804,0.0,0.9983388949046804,-0.09974917560641505,0.0,0.0
3,0.9983388944075855,-4.000591783038246e-08,0.9983388944075863,-0.09974920548168817,-2.4043489473054314e-06,3.826640198814544e-07
4,0.9983388944075855,4.000591783038246e-08,0.9983388944075863,-0.09974920548168817,2.4043489473054314e-06,3.826640198814544e-07
5,0.998338867957995,-3.9980604088890296e-08,0.9983388679579958,-0.09975079509766031,-2.402827659349778e-06,3.8242189938344606e-07
6,0.998338867957995,3.9980604088890296e-08,0.9983388679579958,-0.09975079509766031,2.402827659349778e-06,3.8242189938344606e-07
7,0.998338867471303,0.0,0.998338867471303,-0.09975082434781793,0.0,0.0
8,0.9979314520431473,0.0,0.9979314520431473,-0.12424142142755744,0.0,0.0
9,0.9969821412835759,0.0,0.9969821412835759,-0.1813452980708473,0.0,0.0
10,0.9916424104599152,0.0,0.9916424104599152,-0.5035626006053959,0.0,0.0
11,0.9755596375424516,-0.1398416234625047,0.985531473903593,-0.8744529545633836,-8.542508955292476,1.3595825266415804
12,0.9755596375424516,0.1398416234625047,0.985531473903593,-0.8744529545633836,8.542508955292476,1.3595825266415804
13,0.9747057072383603,0.1349605574281189,0.9840048616670248,-0.9674664734140676,8.255283048686506,1.3138691038211892
14,0.9747057072383603,-0.1349605574281189,0.9840048616670248,-0.9674664734140676,-8.255283048686506,1.3138691038211892
15,0.9835124327463967,0.0,0.9835124327463967,-0.9974999942766223,0.0,0.0
16,0.9835124327463854,0.0,0.9835124327463854,-0.9974999942773063,0.0,0.0
17,0.9835124327463803,0.0,0.9835124327463803,-0.9974999942776177,0.0,0.0
18,0.9811330335066573,-0.00022844889753236778,0.9811330601028967,-1.142831484287049,-0.013970514839606906,0.0022234764942621167
19,0.9811330335066573,0.00022844889753236778,0.9811330601028967,-1.142831484287049,0.013970514839606906,0.0022234764942621167
20,0.9765755468787884,-0.0026372652365731324,0.9765791078707002,-1.4219712181396318,-0.1620310175074585,0.025788037370521454
21,0.9765755468787884,0.0026372652365731324,0.9765791078707002,-1.4219712181396318,0.1620310175074585,0.025788037370521454
22,0.9676149680151107,0.0,0.9676149680151107,-1.9752618688887382,0.0,0.0
23,0.967328972332314,0.0,0.967328972332314,-1.9929985492492908,0.0,0.0
