mode,mu_real,mu_imag,mu_abs,lambda_real,lambda_imag,frequency_hz
0,1.1374086378529467,0.0,1.1374086378529467,7.725153014774366,0.0,0.0
1,1.0000000179686268,0.0,1.0000000179686268,1.078117598835576e-06,0.0,0.0
2,0.9999999895182226,0.0,0.9999999895182226,-6.289066500562155e-07,0.0,0.0
3,0.9989321086460163,0.0,0.9989321086460163,-0.06410771737315521,0.0,0.0
4,0.9977080767440698,-0.0012957487071381783,0.99770891815452,-0.1376226233438662,-0.077923473338603,0.012401905964728184
5,0.9977080767440698,0.0012957487071381783,0.99770891815452,-0.1376226233438662,0.077923473338603,0.012401905964728184
6,0.9947285325192108,-0.022959992460868255,0.9949934746829376,-0.30114599715894613,-1.3846541402528492,0.22037455089389948
7,0.9947285325192108,0.022959992460868255,0.9949934746829376,-0.30114599715894613,1.3846541402528492,0.22037455089389948
8,0.4958250586872629,0.8606650425974617,0.9932707608560307,-0.4051189537030518,62.8883587992041,10.008993165830024
9,0.4958250586872629,-0.8606650425974617,0.9932707608560307,-0.4051189537030518,-62.8883587992041,10.008993165830024
10,0.9857171546342043,-0.026983372320055272,0.9860864116911431,-0.8406773752530738,-1.6420512827881664,0.26134057846612435
11,0.9857171546342043,0.026983372320055272,0.9860864116911431,-0.8406773752530738,1.6420512827881664,0.26134057846612435
